gender,t-classification,N0_Attribute,N1_Attribute,N2_Attribute,N3_Attribute
M,1,0.93871866,0.01532033,0.04178273,0.00417827
M,2,0.71360382,0.10023866,0.15513126,0.03102625
M,3,0.57178841,0.11586902,0.27707809,0.03526448
M,4,0.41509434,0.12938005,0.39083558,0.06469003
F,1,0.95689655,0.00862069,0.03348276,0.00100000
F,2,0.68131868,0.09890110,0.20879121,0.01098901
F,3,0.40659341,0.14285714,0.38461538,0.06593407
F,4,0.39344262,0.09836066,0.44262295,0.06557377
