t-classification,n-classification,M0,M1
1,1,0.99475754,0.00524246
1,2,0.88888889,0.11111111
1,3,0.96551724,0.03448276
1,4,0.99500000,0.00500000
2,1,0.96619718,0.03380282
2,2,0.93877551,0.06122449
2,3,0.94805195,0.05194805
2,4,0.92307692,0.07692308
3,1,0.95752896,0.04247104
3,2,0.92982456,0.07017544
3,3,0.84210526,0.15789474
3,4,0.78947368,0.21052632
4,1,0.96363636,0.03636364
4,2,0.91836735,0.08163265
4,3,0.84615385,0.15384615
4,4,0.78571429,0.21428571
